FundingOrgName,ProjectCategory,StartDate,EndDate,AwardPounds,Region,Status
Innovate UK,BIS-Funded Programmes,2016,2018,9491070,North East,Closed
Innovate UK,BIS-Funded Programmes,2019,2022,3322220,North East,Active
Innovate UK,BIS-Funded Programmes,2014,2017,1621637,North East,Closed
Innovate UK,BIS-Funded Programmes,2014,2017,1537581,North East,Closed
Innovate UK,BIS-Funded Programmes,2021,2022,723604,North East,Active
Innovate UK,BIS-Funded Programmes,2015,2018,477468,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,150000,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,150000,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,150000,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,148500,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,147900,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,146880,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2011,145256,North East,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,142845,North East,Closed
Innovate UK,BIS-Funded Programmes,2020,2022,990520,North West,Active
Innovate UK,BIS-Funded Programmes,2015,2018,825611,North West,Closed
Innovate UK,BIS-Funded Programmes,2014,2018,563663,North West,Closed
Innovate UK,BIS-Funded Programmes,2019,2022,499012,North West,Active
Innovate UK,BIS-Funded Programmes,2014,2018,384004,North West,Closed
Innovate UK,BIS-Funded Programmes,2019,2021,380033,North West,Active
Innovate UK,BIS-Funded Programmes,2019,2022,229632,North West,Active
Innovate UK,BIS-Funded Programmes,2020,2022,225110,North West,Active
Innovate UK,BIS-Funded Programmes,2010,2013,150000,North West,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,150000,North West,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,149213,North West,Closed
Innovate UK,BIS-Funded Programmes,2015,2017,148439,North West,Closed
Innovate UK,BIS-Funded Programmes,2010,2013,142215,North West,Closed
Innovate UK,BIS-Funded Programmes,2010,2010,135000,North West,Closed
