Area Code,Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,% of total 2020,
K02000001,United Kingdom,"15,532,000,000","16,045,000,000","17,452,000,000","17,409,000,000","18,617,000,000","19,982,000,000","21,018,000,000","22,580,000,000","23,669,000,000","25,192,000,000","26,037,000,000","26,937,000,000",100,
E92000001,England,"14,360,000,000","14,868,000,000","16,151,000,000","16,017,000,000","17,009,000,000","18,281,000,000","19,196,000,000","20,607,000,000","21,490,000,000","22,873,000,000","23,537,000,000","24,393,000,000",90.6,
E12000001,North East,"315,000,000","308,000,000","259,000,000","282,000,000","323,000,000","282,000,000","306,000,000","312,000,000","388,000,000","444,000,000","415,000,000","444,000,000",1.6,12
E12000002,North West,"1,926,000,000","2,074,000,000","2,220,000,000","1,781,000,000","1,835,000,000","1,913,000,000","2,115,000,000","2,389,000,000","2,183,000,000","2,027,000,000","1,984,000,000","2,035,000,000",7.6,5
E12000003,Yorkshire and the Humber,"454,000,000","488,000,000","550,000,000","600,000,000","660,000,000","700,000,000","768,000,000","771,000,000","937,000,000","925,000,000","1,021,000,000","1,070,000,000",4,9
E12000004,East Midlands,"992,000,000","1,137,000,000","1,146,000,000","1,218,000,000","1,340,000,000","1,473,000,000","1,528,000,000","1,676,000,000","1,521,000,000","1,770,000,000","1,943,000,000","1,952,000,000",7.2,6
E12000005,West Midlands,"847,000,000","886,000,000","1,281,000,000","1,460,000,000","1,684,000,000","1,924,000,000","2,159,000,000","2,345,000,000","2,469,000,000","2,745,000,000","2,368,000,000","2,258,000,000",8.4,4
E12000006,East of England,"3,812,000,000","3,846,000,000","3,639,000,000","3,606,000,000","4,137,000,000","4,094,000,000","4,200,000,000","4,519,000,000","4,677,000,000","5,209,000,000","5,423,000,000","5,848,000,000",21.7,1
E12000007,London,"907,000,000","877,000,000","1,118,000,000","1,570,000,000","1,291,000,000","1,724,000,000","1,878,000,000","2,351,000,000","2,791,000,000","2,974,000,000","3,246,000,000","3,380,000,000",12.5,3
E12000008,South East,"3,758,000,000","3,798,000,000","4,579,000,000","4,133,000,000","4,288,000,000","4,609,000,000","4,765,000,000","4,728,000,000","4,862,000,000","5,027,000,000","5,299,000,000","5,497,000,000",20.4,2
E12000009,South West,"1,349,000,000","1,454,000,000","1,359,000,000","1,367,000,000","1,450,000,000","1,561,000,000","1,475,000,000","1,516,000,000","1,661,000,000","1,751,000,000","1,837,000,000","1,910,000,000",7.1,7
W92000004,Wales,"243,000,000","234,000,000","252,000,000","268,000,000","367,000,000","386,000,000","368,000,000","440,000,000","421,000,000","431,000,000","463,000,000","494,000,000",1.8,11
S92000003,Scotland,"631,000,000","619,000,000","697,000,000","709,000,000","801,000,000","957,000,000","953,000,000","1,052,000,000","1,250,000,000","1,364,000,000","1,435,000,000","1,437,000,000",5.3,8
N92000002,Northern Ireland,"297,000,000","324,000,000","352,000,000","415,000,000","441,000,000","359,000,000","501,000,000","481,000,000","508,000,000","524,000,000","603,000,000","614,000,000",2.3,10
,,,,,,,,,,,,,,99.9,
